#FILE:                       ,char_GF_24_06_10.dsu            ,,,,
#FORMAT:                     ,NETZSCH5                        ,,,,
#IDENTITY:                   ,char GF                         ,,,,
#DECIMAL:                    ,POINT                           ,,,,
#SEPARATOR:                  ,COMMA                           ,,,,
#MTYPE:                      ,DTA                             ,,,,
#MSUBTYPE:                   ,                                ,,,,
#INSTRUMENT:                 ,NETZSCH STA 449 C               ,,,,
#PROJECT:                    ,Torrefaction                    ,,,,
#DATE/TIME:                  ,24/06/2010 12:29:14             ,,,,
#CORR. FILE:                 ,char_GF_23_06_10.bsu            ,,,,
#LABORATORY:                 ,Sustainable Research Energ      ,,,,
#OPERATOR:                   ,EMF                             ,,,,
#REMARK:                     ,                                ,,,,
#SAMPLE:                     ,nonisoth oxid with init drying  ,,,,
#SAMPLE MASS /mg:            ,10.5,,,,
#MATERIAL:                   ,Alumina                         ,,,,
#REFERENCE:                  ,Alumina                         ,,,,
#REFERENCE MASS /mg:         ,0,,,,
#TYPE OF CRUCIBLE:           ,DTA/TG crucible Al2O3           ,,,,
#SAMPLE CRUCIBLE MASS /mg:   ,0,,,,
#REFERENCE CRUCIBLE MASS /mg:,0,,,,
#CORR. CODE:                 ,20,,,,
#EXO:                        ,-1,,,,
#RANGE:                      ,30.0....900.0/-20.0....10.0K/min,,,,
#SEGMENT:                    ,S1-5/5                          ,,99.05907591,,
,,,19.49182099,,
##Temp./øC,Time/min,DTA/(mW/mg),Mass/%,Sensit./(æV/mW),Segment
36.181,1.48,-0.11341,99.9419,9.13E-02,1
36.215,1.49,-0.116,99.94286,9.13E-02,1
36.242,1.5,-0.12249,99.94286,9.14E-02,1
36.273,1.51,-0.11987,99.94286,9.14E-02,1
36.304,1.52,-0.12376,99.9419,9.14E-02,1
36.333,1.53,-0.12765,99.94095,9.14E-02,1
36.367,1.54,-0.13153,99.9381,9.14E-02,1
36.391,1.55,-0.13152,99.93619,9.14E-02,1
36.443,1.56,-0.13148,99.93429,9.14E-02,1
36.466,1.57,-0.14709,99.93333,9.15E-02,1
36.506,1.58,-0.14316,99.93238,9.15E-02,1
36.544,1.59,-0.14182,99.93143,9.15E-02,1
36.579,1.6,-0.1483,99.93048,9.15E-02,1
36.623,1.61,-0.15217,99.92952,9.15E-02,1
36.653,1.62,-0.15085,99.92857,9.15E-02,1
36.689,1.63,-0.15212,99.92762,9.16E-02,1
36.737,1.64,-0.15598,99.92857,9.16E-02,1
36.784,1.65,-0.16764,99.92857,9.16E-02,1
36.827,1.66,-0.1715,99.92952,9.16E-02,1
36.87,1.67,-0.16367,99.93143,9.16E-02,1
36.911,1.68,-0.17013,99.93143,9.17E-02,1
36.959,1.69,-0.17399,99.93143,9.17E-02,1
37.004,1.7,-0.17395,99.93143,9.17E-02,1
37.053,1.71,-0.1739,99.93143,9.17E-02,1
37.09,1.72,-0.17517,99.93143,9.17E-02,1
37.152,1.73,-0.1816,99.93143,9.18E-02,1
37.192,1.74,-0.17897,99.93048,9.18E-02,1
37.259,1.75,-0.1815,99.92952,9.18E-02,1
37.294,1.76,-0.18795,99.92857,9.18E-02,1
37.343,1.77,-0.1892,99.92857,9.19E-02,1
37.395,1.78,-0.19044,99.92762,9.19E-02,1
37.467,1.79,-0.19685,99.92762,9.19E-02,1
37.523,1.8,-0.19938,99.92667,9.20E-02,1
37.562,1.81,-0.20193,99.92571,9.20E-02,1
37.618,1.82,-0.20188,99.92476,9.20E-02,1
37.673,1.83,-0.19923,99.92667,9.20E-02,1
37.737,1.84,-0.20046,99.92857,9.20E-02,1
37.793,1.85,-0.20428,99.92952,9.21E-02,1
37.844,1.86,-0.21069,99.93048,9.21E-02,1
37.908,1.87,-0.20676,99.93333,9.21E-02,1
37.965,1.88,-0.21444,99.93429,9.22E-02,1
38.023,1.89,-0.2118,99.93619,9.22E-02,1
38.094,1.9,-0.20785,99.93714,9.22E-02,1
38.145,1.91,-0.21296,99.93714,9.22E-02,1
38.217,1.92,-0.21159,99.9381,9.23E-02,1
38.279,1.93,-0.21539,99.9381,9.23E-02,1
38.339,1.94,-0.21662,99.93905,9.23E-02,1
38.408,1.95,-0.21784,99.93905,9.24E-02,1
38.474,1.96,-0.22549,99.93905,9.24E-02,1
38.538,1.97,-0.23057,99.9381,9.24E-02,1
38.611,1.98,-0.22791,99.93619,9.25E-02,1
38.675,1.99,-0.22912,99.93619,9.25E-02,1
38.747,2,-0.2226,99.93524,9.25E-02,1
38.821,2.01,-0.23024,99.93429,9.26E-02,1
38.9,2.02,-0.22629,99.93429,9.26E-02,1
38.967,2.03,-0.22364,99.93333,9.26E-02,1
39.026,2.04,-0.22486,99.93333,9.27E-02,1
39.109,2.05,-0.2312,99.93238,9.27E-02,1
39.177,2.06,-0.23111,99.93238,9.27E-02,1
39.241,2.07,-0.22975,99.93238,9.28E-02,1
39.331,2.08,-0.23734,99.93333,9.28E-02,1
39.401,2.09,-0.23726,99.93429,9.28E-02,1
39.476,2.1,-0.23717,99.93524,9.29E-02,1
39.548,2.11,-0.24349,99.93619,9.29E-02,1
39.634,2.12,-0.24339,99.93619,9.29E-02,1
39.708,2.13,-0.24459,99.9381,9.30E-02,1
39.798,2.14,-0.24575,99.94,9.30E-02,1
39.869,2.15,-0.24182,99.94,9.30E-02,1
39.951,2.16,-0.24172,99.94095,9.31E-02,1
40.023,2.17,-0.24547,99.94095,9.31E-02,1
40.112,2.18,-0.24664,99.94095,9.32E-02,1
40.197,2.19,-0.25164,99.9419,9.32E-02,1
40.283,2.2,-0.25408,99.9419,9.32E-02,1
40.362,2.21,-0.25143,99.94095,9.33E-02,1
40.45,2.22,-0.25515,99.9419,9.33E-02,1
40.547,2.23,-0.25885,99.94095,9.34E-02,1
40.605,2.24,-0.25495,99.94095,9.34E-02,1
40.71,2.25,-0.25865,99.94,9.34E-02,1
40.801,2.26,-0.25852,99.93905,9.35E-02,1
40.891,2.27,-0.25586,99.93905,9.35E-02,1
40.979,2.28,-0.2532,99.9381,9.36E-02,1
41.054,2.29,-0.25946,99.93714,9.36E-02,1
41.15,2.3,-0.27332,99.93619,9.36E-02,1
