,,,,,,,,,,,,,0.954504477,0.938632955,0.91710027,0.886441207,0.841544933,0.771245597,0.665177593,0.509360582,0.992763678,0.987248911,0.978640729,0.967551224,0.309447847,0.141160106,0.094483381
##Temp./øC,Time/min,DTA/(mW/mg),Mass/%,Sensit./(æV/mW),,"mass, g","m-minf-mh2o, g",(m-minf-mash)/(mo-minf-mash),dm/dt,1/T(k),"k, s-1",,9.6891933,,,,,,6.567606691,,2.904267263,,,,,,
524.69002,69.53,-21.43634,74.36646,0.30118,,7.748985132,7.748985132,0.761062411,-0.386896919,0.001253384,0.049928721,,,,,,,,,,,,,,,,
529.67702,70.03,-22.20174,72.53935,0.30106,,7.55860027,7.55860027,0.742363864,-0.420771379,0.001245598,0.055667897,,,,,,,,,,,,,,,,
534.66701,70.53,-23.02962,70.53029,0.30086,,7.349256218,7.349256218,0.72180325,-0.456534326,0.001237904,0.0621198,,,,,,,,,,,,,,,,
539.65902,71.03,-23.91113,68.35087,0.30059,,7.122160654,7.122160654,0.699499181,-0.493874738,0.001230301,0.069343386,,,,,,,,,,,,,,,,
544.65602,71.53,-24.84389,65.95641,0.30025,,6.872657922,6.872657922,0.674994405,-0.532128192,0.001222784,0.077426841,,,,,,,,,,,,,,,,
549.64302,72.03,-25.82742,63.3611,0.29983,,6.60222662,6.60222662,0.64843414,-0.570363243,0.001215372,0.086389528,,,,,,,,,,,,,,,,
554.64302,72.53,-26.87041,60.51635,0.29934,,6.30580367,6.30580367,0.619321119,-0.607426918,0.001208031,0.096328232,,,,,,,,,,,,,,,,
559.63204,73.03,-27.91346,57.45936,0.29878,,5.987265312,5.987265312,0.588036045,-0.642517958,0.001200794,0.107314095,,,,,,,,,,,,,,,,
564.62502,73.53,-28.89022,54.18148,0.29815,,5.645710216,5.645710216,0.554490395,-0.674046963,0.001193638,0.119390995,,,,,,,,,,,,,,,,
569.60701,74.03,-29.83571,50.70002,0.29744,,5.282942084,5.282942084,0.518861318,-0.700971609,0.001186582,0.13268584,,,,,,,,,,,,,,,,
574.60799,74.53,-30.71536,47.02827,0.29666,,4.900345734,4.900345734,0.481284823,-0.722422722,0.001179582,0.147422807,,,,,,,,,,,,,,,,
579.59603,75.03,-31.45503,43.1856,0.29582,,4.49993952,4.49993952,0.441959142,-0.737895002,0.001172682,0.163978871,,,,,,,,,,,,,,,,
584.57601,75.53,-31.93856,39.23907,0.2949,,4.088711094,4.088711094,0.401570563,-0.74559291,0.001165873,0.182354021,,,,,,,,,,,,,,,,
589.54,76.03,-32.21477,35.27508,0.29392,,3.675663336,3.675663336,0.361003299,-0.73780632,0.001159165,0.200727393,,,,,,,,,,,,,,,,
594.49501,76.53,-32.44685,31.36885,0.29288,,3.26863417,3.26863417,0.321027149,-0.713662889,0.001152545,0.218336728,,,,,,,,,,,,,,,,
599.433,77.03,-32.60329,27.57721,0.29177,,2.873545282,2.873545282,0.282223706,-0.675710357,0.001146023,0.235148672,,,,,,,,,,,,,,,,
604.34804,77.53,-32.13564,23.93929,0.2906,,2.494474018,2.494474018,0.244993425,-0.62635755,0.001139604,0.251098045,,,,,,,,,,,,,,,,
609.25301,78.03,-31.41512,20.44557,0.28938,,2.130428394,2.130428394,0.20923888,-0.568215252,0.001133269,0.266714081,,,,,,,,,,,,,,,,
614.19503,78.53,-30.64081,17.10045,0.28808,,1.78186689,1.78186689,0.175005099,-0.503896689,0.001126957,0.282791432,,,,,,,,,,,,,,,,
619.13601,79.03,-29.68143,13.89393,0.28671,,1.447747506,1.447747506,0.142189743,-0.436056661,0.001120717,0.301196624,,,,,,,,,,,,,,,,
624.058,79.53,-26.41088,11.16879,0.2853,,1.163787918,1.163787918,0.114300805,-0.367336796,0.001114569,0.31563895,,,,,,,,,,,,,,,,
628.77004,80.03,-10.04294,10.50419,0.28388,,1.094536598,1.094536598,0.107499324,-0.30011611,0.001108746,0.274194678,,,,,,,,,,,,,,,,
633.47701,80.53,-5.24083,10.49526,0.28241,,1.093606092,1.093606092,0.107407935,-0.236428906,0.001102989,0.216192016,,,,,,,,,,,,,,,,
638.394,81.03,-3.65149,10.46676,0.28083,,1.090636392,1.090636392,0.107116267,-0.177953741,0.00109704,0.163165049,,,,,,,,,,,,,,,,
643.44802,81.53,-3.01996,10.43957,0.27913,,1.087803194,1.087803194,0.106838006,-0.12614996,0.001090991,0.115967631,,,,,,,,,,,,,,,,
648.53402,82.03,-2.67931,10.40069,0.27737,,1.083751898,1.083751898,0.10644011,-0.082235401,0.001084971,0.075880283,,,,,,,,,,,,,,,,
653.61605,82.53,-2.49979,10.3562,0.27555,,1.07911604,1.07911604,0.105984802,-0.047385451,0.001079021,0.043911358,,,,,,,,,,,,,,,,
658.69002,83.03,-2.39986,10.30572,0.27368,,1.073856024,1.073856024,0.105468192,-0.02269192,0.001073146,0.02113125,,,,,,,,,,,,,,,,
663.74001,83.53,-2.34485,10.25372,0.27176,,1.068437624,1.068437624,0.104936027,-0.00921268,0.001067361,0.008622571,,,,,,,,,,,,,,,,
668.79403,84.03,-2.31799,10.2102,0.26979,,1.06390284,1.06390284,0.104490646,-0.006351174,0.001061634,0.005969694,,,,,,,,,,,,,,,,
673.83303,84.53,-2.31217,10.17636,0.26777,,1.060376712,1.060376712,0.104144329,-0.006019951,0.001055985,0.005677181,,,,,,,,,,,,,,,,
678.87203,85.03,-2.31439,10.15803,0.2657,,1.058466726,1.058466726,0.103956741,-0.005545943,0.001050396,0.005239601,,,,,,,,,,,,,,,,
683.90401,85.53,-2.32749,10.13964,0.26358,,1.056550488,1.056550488,0.103768538,-0.005001396,0.001044873,0.004733702,,,,,,,,,,,,,,,,
