,char_GF_23_06_10.csv,char_GF_24_06_10.csv,char_GF_reground_25_10_10.csv,char_LF_24_06_10.csv,char_LF_24_06_10again.csv,char_LF_reground_22_10_10.csv,char_NF_23_06_10.csv,char_NF_24_06_10.csv,char_NF_reground_2_11_10.csv,char_GB_reground_1_11_10.csv,char_N2_reground_2_11_10.csv,char_GD_30_06_10.csv,char_GD_30_06_10_again.csv,char_QD_30_06_10.csv
510,0.198460489167162,0.173903804040965,0.208200035076566,0.0950942891681563,0.0895195950350084,0.101482663120041,0.101789063626629,0.10429106113158,0.109851311390374,0.0427169415487497,0.0335220492012223,0.0593392353566917,0.0593392353566917,0.0436198816584302
520,0.227923522392219,0.201977077917686,0.233479698332726,0.114351605300346,0.109169333512172,0.122564656708422,0.121421664414745,0.127174145402378,0.134166861361619,0.0466452792321073,0.0419853170930387,0.0712079126450704,0.0712079126450704,0.0468606094359029
530,0.124910026944726,0.153760250438449,0.024956063452997,0.136473296862872,0.129831193122677,0.150052315613541,0.145620317485458,0.153931401180357,0.162737802791616,0.0573762298465044,0.0521741275517094,0.084900932147416,0.084900932147416,0.0561892697235455
540,0.00628076094284282,0.0128278101606573,0.0041487526965465,0.169763318687013,0.153826356138757,0.180090174586679,0.175026352330816,0.18809669054083,0.195798503697874,0.0709165329639347,0.0661912194925484,0.101755366077776,0.101755366077776,0.0685000325517234
550,0.00257389837117883,0.00432528877444146,0.00343858410697824,0.208005814581491,0.186263118192409,0.221048685678688,0.210912363403476,0.226273583103846,0.235746432718457,0.0873839532929855,0.0851552977929601,0.12413068291488,0.12413068291488,0.0822275095421253
560,0.00927924682878693,0.00170503717638249,0.00167032398476476,0.26062274955719,0.236150596920917,0.274561151757667,0.26219698854886,0.28526340982832,0.29601348478144,0.107314268525885,0.106322596348273,0.152770149888368,0.152770149888368,0.114210620571883
570,0.00549559118132788,-0.00285075031709001,0.00287650262444133,0.355298799606986,0.295118675145471,0.351636382452848,0.335023659281084,0.369687728149899,0.387756368200793,0.13134541217373,0.129359524722222,0.184443396497747,0.184443396497747,0.131633710490138
580,0.00348432182907306,-0.0022765777817413,0.0023683399454966,0.48560825807644,0.357328605247089,0.190458559332378,0.38776882095607,0.0750679887096273,0.0152805156267759,0.160789899158543,0.156814550819333,0.222153694002019,0.222153694002019,0.168592591179045
590,0.00482471547668865,0.00312406403452196,0.00396173983084417,0.000383322478884835,0.00552074711538227,0.00268761033398004,0.0026555767467807,0.000934688413714559,0.0028188243688248,0.198249315127765,0.194933540381133,0.275754663468236,0.275754663468236,0.213398987009323
600,0.0100400314745278,0.00824448346195826,0.00749135900687704,0.00574051986105461,0.0096924560486154,0.00773974311629642,0.00966837642883391,0.0107767120530184,0.00893711280816365,0.242145853308085,0.226652368325875,0.361026448900632,0.361026448900632,0.263881000434417
